JnlTranID,Zip Code,DATE
15983213,46250,11/22/2014
15983216,46220,11/22/2014
15983217,46219,11/22/2014
15983233,47906,11/22/2014
15983234,46062,11/22/2014
15983236,46250,11/22/2014
15983237,46240,11/22/2014
15983239,73072,11/22/2014
15983241,46060,11/22/2014
15983242,46203,11/22/2014
15983244,46260,11/22/2014
15983245,60304,11/22/2014
15983246,45202,11/22/2014
15983255,46122,11/22/2014
15983260,46220,11/22/2014
15983263,46055,11/22/2014
15983268,47235,11/22/2014
15983269,46321,11/22/2014
15983274,61832,11/22/2014
15983275,46205,11/22/2014
15983276,46808,11/22/2014
15983278,49464,11/22/2014
15983292,46205,11/22/2014
15983294,45305,11/22/2014
15983298,46135,11/22/2014
15983299,47201,11/22/2014
15983300,47401,11/22/2014
15983302,61822,11/22/2014
15983306,46250,11/22/2014
15983308,47403,11/22/2014
15983323,46204,11/22/2014
15983326,46260,11/22/2014
15983327,46201,11/22/2014
15983330,46033,11/22/2014
15983337,46227,11/22/2014
15983340,46220,11/22/2014
15983347,46228,11/22/2014
15983349,46131,11/22/2014
15983350,47712,11/22/2014
15983351,46205,11/22/2014
15983353,46032,11/22/2014
15983361,46268,11/22/2014
15983362,46240,11/22/2014
15983365,46220,11/22/2014
15983368,47203,11/22/2014
15983370,46123,11/22/2014
15983374,46207,11/22/2014
15983377,47203,11/22/2014
15983383,46236,11/22/2014
15983385,46205,11/22/2014
15983386,46123,11/22/2014
15983390,47901,11/22/2014
15983394,46234,11/22/2014
15983396,46123,11/22/2014
15983402,46516,11/22/2014
15983410,46220,11/22/2014
15983412,46203,11/22/2014
15983413,46207,11/22/2014
15983417,46237,11/22/2014
15983419,46208,11/22/2014
15983422,46123,11/22/2014
15983432,46202,11/22/2014
15983436,46268,11/22/2014
15983438,46123,11/22/2014
15983439,46220,11/22/2014
15983444,46220,11/22/2014
15983445,77004,11/22/2014
15983447,46220,11/22/2014
15983454,46240,11/22/2014
15983457,46123,11/22/2014
15983461,45227,11/22/2014
15983462,46165,11/22/2014
15983464,46120,11/22/2014
15983465,46250,11/22/2014
15983468,46204,11/22/2014
15983509,47203,11/22/2014
15983513,46203,11/22/2014
15983544,47803,11/22/2014
15983567,47905,11/22/2014
15983568,47330,11/22/2014
15983570,47330,11/22/2014
15983575,46143,11/22/2014
15983577,46143,11/22/2014
15983578,46217,11/22/2014
15983580,46221,11/22/2014
15983585,46224,11/22/2014
15983586,46254,11/22/2014
15983587,46236,11/22/2014
15983595,47448,11/22/2014
15983598,46225,11/22/2014
15983599,46168,11/22/2014
15983600,46224,11/22/2014
15983602,46204,11/22/2014
15983603,46237,11/22/2014
15983605,46256,11/22/2014
15983611,19335,11/22/2014
15983613,46989,11/22/2014
15983615,46202,11/22/2014
15983618,46224,11/22/2014
15983620,93309,11/22/2014
15983624,46205,11/22/2014
15983628,45036,11/22/2014
15983631,46202,11/22/2014
15983633,46205,11/22/2014
15983636,46237,11/22/2014
15983638,46220,11/22/2014
15983656,46208,11/22/2014
15983659,46208,11/22/2014
15983661,46204,11/22/2014
15983664,46220,11/22/2014
15983677,46214,11/22/2014
15983682,46214,11/22/2014
15983687,46219,11/22/2014
15983690,46202,11/22/2014
15983723,46032,11/22/2014
15983736,46227,11/22/2014
15983737,46237,11/22/2014
15983738,48092,11/22/2014
15983739,46240,11/22/2014
15983740,46062,11/22/2014
15983743,46074,11/22/2014
15983745,46203,11/22/2014
15983748,46235,11/22/2014
15983750,46074,11/22/2014
15983751,46268,11/22/2014
15983754,46142,11/22/2014
15983759,46158,11/22/2014
15983763,46140,11/22/2014
15983830,46227,11/23/2014
15983840,46260,11/23/2014
15983849,46222,11/23/2014
15983850,46203,11/23/2014
15983852,46979,11/23/2014
15983853,46151,11/23/2014
15983865,99117,11/23/2014
15983875,40517,11/23/2014
15983883,46224,11/23/2014
15983884,46168,11/23/2014
15983885,46219,11/23/2014
15983893,46033,11/23/2014
15983907,46202,11/23/2014
15983915,46032,11/23/2014
15983916,46168,11/23/2014
15983917,46168,11/23/2014
15983920,46123,11/23/2014
15983922,46204,11/23/2014
15983932,46204,11/23/2014
15983933,46077,11/23/2014
15983935,46123,11/23/2014
15983937,46123,11/23/2014
15983943,46208,11/23/2014
15983944,46112,11/23/2014
